user_id;movie_id;episodes_watched;movie_id;episodes;liked
10001525829995351486;0;1;0;99;0
10001525829995351486;17728;1;17728;4;0
10001525829995351486;18539;1;18539;1;1
10005577857608298710;16676;1;16676;22;0
10005577857608298710;17241;7;17241;50;0
10012748281302027782;15385;1;15385;10;0
10012748281302027782;15344;2;15344;16;0
10012748281302027782;17295;1;17295;12;0
10012748281302027782;19791;1;19791;36;0
10018022023226391489;15483;3;15483;16;0
10018022023226391489;19645;3;19645;120;0
10018022023226391489;15375;1;15375;20;0
10018022023226391489;17295;5;17295;12;0
10018022023226391489;14487;7;14487;18;0
10018022023226391489;19751;3;19751;3;1
10018022023226391489;13951;4;13951;13;0
10018022023226391489;16996;1;16996;22;0
10018022023226391489;19752;3;19752;3;1
10018022023226391489;17390;1;17390;16;0
10018022023226391489;17517;10;17517;10;1
10018022023226391489;15387;16;15387;49;1
10018022023226391489;18484;1;18484;8;0
10018022023226391489;13214;1;13214;10;0
10018022023226391489;7735;56;7735;75;1
10018022023226391489;18362;1;18362;10;0
10018022023226391489;16759;1;16759;23;0
10018022023226391489;14452;6;14452;6;1
10018022023226391489;19647;1;19647;162;0
10018022023226391489;14437;1;14437;8;0
10018022023226391489;12304;1;12304;230;0
10018022023226391489;15351;3;15351;82;0
10018022023226391489;15388;5;15388;48;0
10018022023226391489;18814;3;18814;3;1
10018022023226391489;15340;1;15340;38;0
10018022023226391489;15334;10;15334;20;1
10018022023226391489;13399;1;13399;13;0
10018022023226391489;19643;4;19643;114;0
10018022023226391489;19646;1;19646;122;0
10030335326227759868;19206;8;19206;8;1
10030335326227759868;13940;2;13940;13;0
10030335326227759868;10084;1;10084;13;0
10030335326227759868;18162;2;18162;16;0
10030335326227759868;16073;9;16073;10;1
10030335326227759868;12561;2;12561;9;0
10030335326227759868;19247;4;19247;4;1
10030335326227759868;16975;3;16975;13;0
10030335326227759868;0;1;0;99;0
10030335326227759868;16770;1;16770;23;0
10030335326227759868;13934;3;13934;13;0
10030335326227759868;13214;2;13214;10;0
10030335326227759868;18336;4;18336;4;1
10042139405895862348;17517;5;17517;10;0
10042139405895862348;13189;10;13189;10;1
10042139405895862348;13272;20;13272;20;1
10042139405895862348;17288;10;17288;20;1
10042139405895862348;17291;9;17291;20;0
10042139405895862348;12561;9;12561;9;1
10042139405895862348;15393;1;15393;78;0
10042139405895862348;17292;10;17292;20;1
10042139405895862348;15387;17;15387;49;1
10042139405895862348;17286;7;17286;14;0
10042139405895862348;17289;10;17289;20;1
10042139405895862348;17295;6;17295;12;0
10042139405895862348;13109;10;13109;10;1
10042139405895862348;17290;10;17290;20;1
10042139405895862348;17287;10;17287;20;1
10042139405895862348;14437;2;14437;8;0
10042139405895862348;15388;2;15388;48;0
10051692184152030303;17852;1;17852;22;0
10051692184152030303;17290;10;17290;20;1
10051692184152030303;18484;1;18484;8;0
10051692184152030303;17040;1;17040;15;0
10051692184152030303;17517;5;17517;10;0
10051692184152030303;17292;10;17292;20;1
10051692184152030303;17291;10;17291;20;1
1005736923230267719;19643;2;19643;114;0
1005736923230267719;17288;10;17288;20;1
1005736923230267719;19646;1;19646;122;0
1005736923230267719;17291;10;17291;20;1
1005736923230267719;19785;3;19785;36;0
1005736923230267719;17292;2;17292;20;0
1005736923230267719;17295;6;17295;12;0
1005736923230267719;17286;9;17286;14;1
1005736923230267719;15341;1;15341;126;0
1005736923230267719;13270;1;13270;4;0
1005736923230267719;15340;1;15340;38;0
1005736923230267719;15323;1;15323;20;0
1005736923230267719;15316;1;15316;9;0
1005736923230267719;19647;1;19647;162;0
1005736923230267719;17289;10;17289;20;1
1005736923230267719;19645;1;19645;120;0
1005736923230267719;19791;1;19791;36;0
1005736923230267719;17287;10;17287;20;1
1005736923230267719;17290;10;17290;20;1
1005736923230267719;17711;1;17711;15;0
10075874651633543826;15714;1;15714;13;0
10075874651633543826;16630;3;16630;3;1
10075874651633543826;12443;1;12443;8;0
10075874651633543826;18173;6;18173;10;1
10075874651633543826;16676;1;16676;22;0
10075874651633543826;16459;3;16459;6;0
10075874651633543826;12464;1;12464;20;0
10075874651633543826;18210;1;18210;12;0
10075874651633543826;18162;3;18162;16;0
10075874651633543826;16829;2;16829;10;0
10075874651633543826;17816;2;17816;10;0
10075874651633543826;17840;3;17840;4;1
10075874651633543826;16924;1;16924;8;0
10075874651633543826;16975;4;16975;13;0
10075874651633543826;14396;1;14396;4;0
10075874651633543826;16911;4;16911;4;1
10075874651633543826;16486;1;16486;13;0
10075874651633543826;15622;2;15622;10;0
10075874651633543826;19979;3;19979;4;1
10079310684998713978;15353;1;15353;7;0
10079310684998713978;15394;10;15394;55;1
10079310684998713978;18994;1;18994;9;0
10079310684998713978;15335;1;15335;12;0
10079310684998713978;15384;4;15384;20;0
10079310684998713978;16589;1;16589;22;0
10079310684998713978;17165;1;17165;9;0
10079310684998713978;17909;1;17909;45;0
10079310684998713978;17186;1;17186;18;0
10079310684998713978;15388;3;15388;48;0
10079310684998713978;18300;1;18300;9;0
10079310684998713978;18142;5;18142;70;0
10079310684998713978;17295;1;17295;12;0
10081199270489879321;13826;10;13826;10;1
10081199270489879321;16551;1;16551;7;0
10081199270489879321;17733;2;17733;2;1
10081199270489879321;17785;10;17785;10;1
10081199270489879321;14871;3;14871;10;0
10081199270489879321;14437;1;14437;8;0
10081649792038148732;16410;3;16410;6;0
10081649792038148732;15285;6;15285;96;0
10081649792038148732;16966;8;16966;10;1
10081649792038148732;15526;1;15526;10;0
10081649792038148732;17689;2;17689;8;0
10081649792038148732;18476;6;18476;122;0
10081649792038148732;14437;2;14437;8;0
10081649792038148732;16318;3;16318;4;1
10081649792038148732;17729;9;17729;24;0
10081649792038148732;16486;1;16486;13;0
10081649792038148732;18281;11;18281;13;1
10081649792038148732;15384;1;15384;20;0
10081649792038148732;17005;8;17005;8;1
10081649792038148732;17677;4;17677;22;0
10081649792038148732;18221;13;18221;13;1
10081649792038148732;13098;3;13098;10;0
10081649792038148732;15387;1;15387;49;0
10081649792038148732;16895;8;16895;8;1
10081649792038148732;18983;3;18983;12;0
10088462503245879686;13949;1;13949;17;0
10088462503245879686;19646;1;19646;122;0
10088462503245879686;0;2;0;99;0
10091085797201058410;19803;19;19803;20;1
10091085797201058410;12304;11;12304;230;1
10105101329019794966;19645;1;19645;120;0
10105101329019794966;19785;1;19785;36;0
10105101329019794966;15387;28;15387;49;1
10105101329019794966;17518;1;17518;82;0
10105101329019794966;19643;5;19643;114;0
10106865757033059912;17659;1;17659;14;0
10106865757033059912;17517;5;17517;10;0
10106865757033059912;18484;8;18484;8;1
10106865757033059912;13647;3;13647;5;1
10106865757033059912;18994;7;18994;9;1
10106865757033059912;12256;1;12256;7;0
10106865757033059912;18026;9;18026;20;0
10113505166543553078;16757;26;16757;56;1
10113505166543553078;7682;10;7682;16;1
10113505166543553078;19642;1;19642;108;0
10113505166543553078;18667;1;18667;151;0
10113505166543553078;18089;5;18089;44;0
10113505166543553078;15720;2;15720;247;0
10113505166543553078;7735;32;7735;75;1
10113505166543553078;19628;23;19628;38;1
10113505166543553078;18476;1;18476;122;0
10113505166543553078;12304;5;12304;230;0
10120544599806998799;16705;10;16705;10;1
10120544599806998799;18514;6;18514;13;0
10120544599806998799;16073;10;16073;10;1
10120544599806998799;17318;10;17318;10;1
10120544599806998799;18480;10;18480;10;1
10120544599806998799;18966;10;18966;10;1
10120544599806998799;17254;10;17254;10;1
10120544599806998799;18991;10;18991;10;1
10120544599806998799;18441;2;18441;13;0
10120544599806998799;18620;8;18620;26;0
10120544599806998799;16975;13;16975;13;1
10120544599806998799;16551;7;16551;7;1
10120544599806998799;18567;2;18567;13;0
10120544599806998799;16147;10;16147;10;1
10120544599806998799;17079;13;17079;13;1
10120544599806998799;13393;1;13393;6;0
10120544599806998799;13914;14;13914;14;1
10120544599806998799;18701;11;18701;11;1
10120544599806998799;17274;6;17274;9;1
10120544599806998799;18373;5;18373;13;0
10120544599806998799;18643;10;18643;10;1
10120544599806998799;18992;9;18992;9;1
10120544599806998799;17350;3;17350;4;1
10120544599806998799;13492;8;13492;28;0
10120544599806998799;16901;10;16901;10;1
10125014959440984462;17816;1;17816;10;0
10125014959440984462;13270;1;13270;4;0
10125014959440984462;19643;5;19643;114;0
10125014959440984462;15720;1;15720;247;0
10126751081009852156;16757;26;16757;56;1
10126751081009852156;15635;4;15635;104;0
10126751081009852156;19785;12;19785;36;1
10126751081009852156;19026;34;19026;56;1
10126751081009852156;18089;5;18089;44;0
10126751081009852156;19645;4;19645;120;0
10126751081009852156;17241;13;17241;50;1
10126751081009852156;19648;2;19648;104;0
10126751081009852156;12306;27;12306;85;1
10126751081009852156;13109;2;13109;10;0
10126751081009852156;16438;1;16438;7;0
10126751081009852156;16724;17;16724;39;1
10126751081009852156;19644;1;19644;113;0
10126751081009852156;19647;1;19647;162;0
